hash,commit_hash,author,date,message,lines_added,lines_deleted,files_changed
70298332899f25826e35e42f8d83425124f755a5,7029833,Nate Prewitt,2025-10-15 20:45:42 +0900,Merge pull request #7042 from psf/dependabot/github_actions/github/codeql-action,0,0,0
6e4134b204f675268296b2b44c2d52c8a7927b2c,6e4134b,dependabot[bot],2025-10-13 16:16:05,Bump github/codeql-action from 3.30.0 to 4.30.8,3,3,1
420d16bc7ef326f7b65f90e4644adc0f6a0e1d44,420d16b,Nate Prewitt,2025-09-09 18:00:19 +0900,Merge pull request #7026 from psf/dependabot/github_actions/actions/setup-python,0,0,0
3c8decb92fb9062cac4bdd12d6c0d32fb3a2d119,3c8decb,dependabot[bot],2025-09-09 00:09:47,Bump actions/setup-python from 5.6.0 to 6.0.0,5,5,3
5a270e2a95cdf84e746f26face11efdda3aa0127,5a270e2,Nate Prewitt,2025-09-09 09:08:49 +0900,Merge pull request #7025 from psf/dependabot/github_actions/pypa/gh-action-pypi-,0,0,0
7d8df1df573a01f20a80994685e9f6c375f9c63f,7d8df1d,dependabot[bot],2025-09-08 16:18:37,Bump pypa/gh-action-pypi-publish from 1.12.4 to 1.13.0,1,1,1
1c49660b84c88eeb2695796ce4a68903c00e00c5,1c49660,dependabot[bot],2025-09-02 02:56:17,Bump github/codeql-action from 3.29.0 to 3.30.0,3,3,1
b25c87d7cb8d6a18a37fa12442b5f883f9e41741,b25c87d,Nate Prewitt,2025-08-18 13:23:20 -0700,v2.32.5,12,2,2
131e506079d97606e4214cc4d87b780ac478de7a,131e506,Nate Prewitt,2025-08-11 15:32:16 -0700,Merge pull request #7010 from psf/dependabot/github_actions/actions/checkout-5.0,0,0,0
b336cb2bc616a63a93c6470c558fc1f576b77f90,b336cb2,dependabot[bot],2025-08-11 22:15:22,Bump actions/checkout from 4.2.0 to 5.0.0,6,6,4
46e939b5525d9c72b677340985582b04b128478a,46e939b,Grant Birkinbine,2025-08-05 22:44:36 -0700,Update publish workflow to use `artifact-id` instead of `name`,6,2,1
4b9c546aa3f35fca6ca24945376fe7462bb007c4,4b9c546,Nate Prewitt,2025-07-28 12:09:42 -0700,Merge pull request #6999 from psf/dependabot/github_actions/step-security/harden,0,0,0
7618dbef01d333f23ba4b9c4d97397b06dd89cb6,7618dbe,dependabot[bot],2025-07-28 19:01:25,Bump step-security/harden-runner from 2.12.0 to 2.13.0,2,2,1
2edca11103c1c27dd8b572dab544b7f48cf3b446,2edca11,Nate Prewitt,2025-07-25 13:42:15 -0700,Add support for Python 3.14 and drop support for Python 3.8 (#6993),19,14,7
fec96cd5976ad763e45bac9a033d62cca1877a00,fec96cd,Abhishek Jha,2025-07-18 21:54:31 +0530,Update Makefile rules (#6996),2,5,1
d58d8aa2f45c3575268d6d5250745ef69f9cf8b7,d58d8aa,Quaylyn Rimer,2025-07-17 19:09:19 -0700,docs: clarify timeout parameter uses seconds in Session.request (#6994),1,1,1
91a3eabd3dcc4d7f36dd8249e4777a90ef9b4305,91a3eab,dependabot[bot],2025-06-16 17:38:11,Bump github/codeql-action from 3.28.5 to 3.29.0,3,3,1
90fee0876aea97c639b3bf698d83a12876d2f160,90fee08,Nate Prewitt,2025-06-13 09:42:08 -0700,Revert caching a default SSLContext (#6767),16,39,1
8ff173b186f135670879db9fbe1e68a6b5209c89,8ff173b,AHMAD FAIZ,2024-07-28 18:14:06 +0530,Clarify error description in cloning instructions,1,1,1
3f07f990ac74f1e1691ba17ef8c14007f05846ab,3f07f99,Jonas Fonseca,2024-10-04 09:18:45 -0400,Fix typo in documentation for verify,1,1,1
e57b5bf05c4e39281b5547b1bd05a5074dc96df3,e57b5bf,Ian Stapleton Cordasco,2025-06-09 21:15:28 -0500,Add Trusted Publishing Release Workflow,90,1,2
021dc729f0b71a3030cefdbec7fb57a0e80a6cfd,021dc72,Ian Stapleton Cordasco,2025-06-09 11:26:42 -0500,Polish up release tooling for last manual release,7,4,1
821770e822a20a21b207b3907ea83878bda1d396,821770e,Ian Stapleton Cordasco,2025-06-09 10:21:47 -0500,Bump version and add release notes for v2.32.4,13,2,2
59f8aa2adf1d3d06bcbf7ce6b13743a1639a5401,59f8aa2,Piotr Szlazak,2025-06-08 19:47:55 +0200,Add netrc file search information to authentication documentation (#6876),11,0,2
5b4b64c3467fd7a3c03f91ee641aaa348b6bed3b,5b4b64c,Arthur Woimbée,2025-06-05 16:55:33 +0200,Add more tests to prevent regression of CVE 2024 47081,20,8,2
7bc45877a86192af77645e156eb3744f95b47dae,7bc4587,danigm,2025-06-05 13:21:46 +0200,Add new test to check netrc auth leak (#6962),31,0,1
96ba401c1296ab1dda74a2365ef36d88f7d144ef,96ba401,Nate Prewitt,2024-09-25 08:03:20 -0700,Only use hostname to do netrc lookup instead of netloc,1,7,1
7341690e842a23cf18ded0abd9229765fa88c4e2,7341690,Nate Prewitt,2025-06-01 11:07:17 -0700,Merge pull request #6951 from tswast/patch-1,0,0,0
6716d7c9f29df636643fa2489f98890216525cb0,6716d7c,Tim Sweña,2025-06-01 09:03:51 -0500,remove links,12,17,2
a7e1c745dc23c18e836febd672416ed0c5d8d8ae,a7e1c74,Ian Stapleton Cordasco,2025-05-31 11:59:51 -0500,Update docs/conf.py,1,1,1
c799b8167a13416833ad3b4f3298261a477e826f,c799b81,Tim Sweña (Swast),2025-05-21 11:08:05 -0500,docs: fix dead links to kenreitz.org,3,3,3
c65c780849563c891f35ffc98d3198b71011c012,c65c780,Robin,2025-05-03 12:39:14 -0400,Add two more tests exercising the adapter (#6936),26,0,1
579cd9f23319ebc65b71613f59e2b7b37d67276d,579cd9f,Nate Prewitt,2025-03-31 10:43:23 -0700,Drop pypy 3.9 and add pypy 3.11 support,10,1,2
c54d0347e24f38b40881f1e0a8bfc9fbce583298,c54d034,Nate Prewitt,2025-04-28 10:36:20 -0700,Merge pull request #6939 from psf/dependabot/github_actions/actions/setup-python,0,0,0
991f05dcd922b1c4036067cb0473abc17db3c806,991f05d,dependabot[bot],2025-04-28 17:28:05,Bump actions/setup-python from 5.5.0 to 5.6.0,4,4,2
4ce9520a1cfa2e91abe5a923498f49e1fdb2e4ee,4ce9520,Robin,2025-04-23 08:44:05 -0400,Update lint workflow to ubuntu-24.04,1,1,1
42a1dd640ca42ccfc22b00ba29d1bb0c3e51c9d2,42a1dd6,Ian Stapleton Cordasco,2025-04-15 21:46:50 -0500,Merge pull request #6924 from RichieB2B/rfc5280,0,0,0
c4c8e20289ab82edad55d2fc07b42cbf08ae1441,c4c8e20,Nate Prewitt,2025-03-31 09:43:07 -0700,Merge pull request #6925 from psf/dependabot/github_actions/actions/setup-python,0,0,0
a5cb4284e18555d9e179f309356178410dbfdaf1,a5cb428,dependabot[bot],2025-03-31 16:31:10,Bump actions/setup-python from 5.4.0 to 5.5.0,4,4,2
2019450b43511289d45c6b3e7376f2813e1c27b4,2019450,Richard van den Berg,2025-03-29 14:53:45 +0100,Add key usage extension to test ca.crt,11,10,2
1764cc938efc3cc9720188dfa6c3852c45211aa0,1764cc9,Nate Prewitt,2025-02-20 10:43:13 -0800,Merge pull request #6899 from duzhuoshanwai/main,0,0,0
e946665c5953ab40e6dbb29cc8c496ee625fdadd,e946665,duzhuoshanwai,2025-02-19 10:05:28 +0800,Update advanced.rst,1,1,1
8ba805fa93c3f0fc958b48bc136ed565d7c82872,8ba805f,Ian Stapleton Cordasco,2025-02-17 06:40:19 -0600,Merge pull request #6897 from cjwatson/fix-test-certificates,0,0,0
